RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
AA0244,G. spirurus,0,5,13.7,29.4,16.8,67,14,23-Jul,10,Sacha Huasi,2004
AA0245,G. spirurus,0,5,13.6,30.3,16.1,71,13,23-Jul,10,Sacha Huasi,2004
AA0246,L. coronata,0,5,10.3,268,15.6,57,9.5,23-Jul,10,Sacha Huasi,2004
AA0247,M. oleagineus,0,2,13.1,29.3,14.8,63,10,23-Jul,10,Sacha Huasi,2004
A0272,T. schistaceus,0,5,18.3,39.3,25.6,62,20,23-Jul,10,Sacha Huasi,2004
R,T. furcata,0,4,23.4,35.5,,54,5.4,23-Jul,11,Sacha Huasi,2004
A0275,P. albifrons,0,5,18,35.2,23.8,68,18.5,23-Jul,12,Sacha Huasi,2004
R,P. bourcieri,0,5,35.7,50.5,,55,4.6,23-Jul,12,Sacha Huasi,2004
B0067,H. rubica,0,3,19.2,37.7,21,87,32,23-Jul,13,Sacha Huasi,2004
AA0248,L. coronata,0,4,10.5,25.9,14.6,60,8.6,23-Jul,13,Sacha Huasi,2004
AA0249,M. hauxwelli,0,3,14.3,30.8,18.3,53,10.5,23-Jul,13,Sacha Huasi,2004
W,P. malaris,0,5,45.2,57.2,,61,6.9,23-Jul,13,Sacha Huasi,2004
B0068,F. colma,0,3,19.6,43.1,5.3,86,40.5,24-Jul,6,Sacha Huasi,2004
A0276,H. poecilinota,0,3,19.2,36.6,21.8,67,17.4,24-Jul,6,Sacha Huasi,2004
B0069,L. fulvus,0,4,15.8,40.3,23.2,86,37.3,24-Jul,6,Sacha Huasi,2004
AA0250,M. hauxwelli,0,3,15,31.9,18.5,57,11.2,24-Jul,6,Sacha Huasi,2004
AA0251,M. longipennis,0,3,13.4,26.6,14.2,51,8,24-Jul,6,Sacha Huasi,2004
A0277,M. myotherinus,0,4,16.5,35.9,22.9,60,19.9,24-Jul,6,Sacha Huasi,2004
B0070,P. albifrons,0,1,18.8,35.6,21.3,68,19.2,24-Jul,6,Sacha Huasi,2004
AA0252,L. coronata,0,4,11,26.7,14.2,60,9.8,24-Jul,7,Sacha Huasi,2004
A0278,P. erythrocephala,0,4,11.4,28.9,14,61,13.1,24-Jul,7,Sacha Huasi,2004
A0279,P. erythrocephala,0,4,11,27.8,13.7,63,13,24-Jul,7,Sacha Huasi,2004
A0280,P. erythrocephala,0,4,11.3,27.5,3.3,63,12,24-Jul,7,Sacha Huasi,2004
B,P. bourcieri,0,5,33.3,45.4,,52,4.8,24-Jul,8,Sacha Huasi,2004
AA0253,T. erythrurus,0,5,11,26.5,15.8,54,8,24-Jul,9,Sacha Huasi,2004
AA0255,G. spirurus,0,5,,,,,15.5,24-Jul,10,Sacha Huasi,2004
AA0246,L. coronata,1,,,,,,9.8,24-Jul,10,Sacha Huasi,2004
B0071,X. guttatus,0,5,39.7,,23.5,115,62.5,24-Jul,10,Sacha Huasi,2004
B0072,A. ochrolaemus,0,5,,,,88,36.4,25-Jul,6,Sacha Huasi,2004
