Species,English,Family,Hab,Ev,Abund,Snst,Strat,Ind
Cotinga cayana,Spangled Cotinga,COTINGIDAE,T,S,R,H,C,
Lipaugus vociferans,Screaming Piha,COTINGIDAE,T,V,C,H,M/C,
Gymnoderus foetidus,Bare-necked Fruitcrow,COTINGIDAE,V/T,S,U,M,C,
Tyranneutes stolzmanni,Dwarf Tyrant-Manakin,PIPRIDAE,T,M,U,H,M,
Chiroxiphia pareola,Blue-backed Manakin,PIPRIDAE,T,M (P),U,H,U/M,I
Chloropipo holochlora,Green Manakin,PIPRIDAE,T,M,F,H,U,
Lepidothrix coronata,Blue-crowned Manakin,PIPRIDAE,T/S,S/V/M (P),C,M,U/M,
Manacus manacus,White-bearded Manakin,PIPRIDAE,T/S/V,S/V/M (P),F,L,U,
Pipra filicauda,Wire-tailed Manakin,PIPRIDAE,T/V,S/M (P),F,M,U/M,
Machaeropterus regulus,Striped Manakin,PIPRIDAE,T/S,S/M (P),C,M,U/M,
Ceratopipra erythrocephala,Golden-headed Manakin,PIPRIDAE,T/S,S/V/M (P),C,H,U/M,I
Tityra inquisitor,Black-crowned Tityra,TITYRIDAE,T/S,S,U,M,C,
Tityra cayana,Black-tailed Tityra,TITYRIDAE,T/V,S/V,C,M,C,
Tityra semifasciata,Masked Tityra,TITYRIDAE,T/S,S,U,M,C,
Laniocera hypopyrra,Cinereous Mourner,TITYRIDAE,T,M,U,H,M/C,
Iodopleura isabellae,White-browed Purpletuft,TITYRIDAE,T,S,R,M,C,
Pachyramphus castaneus,Chestnut-crowned Becard,TITYRIDAE,T,S,U,M,C,
Pachyramphus polychopterus,White-winged Becard,TITYRIDAE,T,V,U,L,L,
Pachyramphus minor,Pink-throated Becard,TITYRIDAE,T,S,R,H,C,
Piprites chloris,Wing-barred Piprites,INCERTAE SEDIS,T,M,U,H,C,
Tunchiornis ochraceiceps,Tawny-crowned Greenlet,VIREONIDAE,T,M,F,M,U/M,I
Cyanocorax violaceus,Violaceous Jay,CORVIDAE,T/S/R,S/V,A,L,C,
Pygochelidon cyanoleuca,Blue-and-white Swallow,HIRUNDINIDAE,SC,S,C,L,A,
Atticora fasciata,White-banded Swallow,HIRUNDINIDAE,R,S,C,M,A,
Atticora tibialis,White-thighed Swallow,HIRUNDINIDAE,S,S,F,M,A,
Stelgidopteryx ruficollis,Southern Rough-winged Swallow,HIRUNDINIDAE,R,S,U,L,A,
Progne chalybea,Grey-breasted Martin,HIRUNDINIDAE,SC,S,F,L,A,
Tachycineta albiventer,White-winged Swallow,HIRUNDINIDAE,R,S,C,L,A,
Microcerculus marginatus,Scaly-breasted Wren,TROGLODYTIDAE,T/S,S/V/M,C,H,T/U,
Microcerculus bambla,Wing-banded Wren,TROGLODYTIDAE,T,M (P),U,H,T/U,
Troglodytes aedon,House Wren,TROGLODYTIDAE,S/SC,S/V,C,L,T/U,
Campylorhynchus turdinus,Thrush-like Wren,TROGLODYTIDAE,S/T,S/V,F,L,M/C,
